id,nlayers,main_train_pts,aux_train_pts,relatedness,s_a,s_b,single_task,train_seed,validation-1/loss
deep-nonlinear-37d0dfef4df54e749301f409cb738660,5,800,800,0.0,0.03981071705534973,0.01,False,3,2.252825736999512
deep-nonlinear-4a5a00105e3f4910b4161c1a177c694e,5,400,400,0.25,0.15848931924611134,10.0,False,0,2.294572353363037
deep-nonlinear-c6a13c125f56471c950589861d20340b,5,400,400,0.75,0.15848931924611134,2.51188643150958,False,4,2.2939939498901367
deep-nonlinear-e56f7b6f3d6a4fd18deffba94b16d62b,5,400,400,0.0,0.03981071705534973,0.6309573444801929,False,2,2.299380302429199
deep-nonlinear-68923123197549f995a28967f7604a06,1,200,200,0.0,10.0,0.01,False,1,2.111565113067627
deep-nonlinear-63436e12cea144219741ea1bf219cea0,3,400,400,0.0,0.6309573444801929,1.0,True,0,2.18617844581604
deep-nonlinear-58fea0043c3443dfad64ceaf0b33803a,1,800,800,0.5,0.15848931924611134,0.15848931924611134,False,2,1.5794227123260498
deep-nonlinear-53734deb9eef4b16b4a0502a0449db51,1,400,400,0.5,2.51188643150958,0.03981071705534973,False,3,1.8329496383666992
deep-nonlinear-2f8e021699214672afda8078bd07c6bd,3,400,400,1.0,0.15848931924611134,0.6309573444801929,False,4,2.128091335296631
deep-nonlinear-d307f2b240544f4bae4cc9c3ebd2f024,1,400,400,0.0,10.0,0.6309573444801929,False,0,1.8389124870300293
deep-nonlinear-80c713f5656e4358b0b9aed27bdb2a4a,3,800,800,0.25,10.0,0.01,False,3,1.8766835927963257
deep-nonlinear-d1b1c3725d5c4e96bc01a986991e5567,1,800,800,0.5,0.15848931924611134,0.01,False,4,1.6722917556762695
deep-nonlinear-f088d37f23f24baabeea2092f3fa2c07,3,200,200,0.75,0.01,10.0,False,3,2.3019604682922363
deep-nonlinear-6ea81d16decd43ca82fe55147f12016c,5,800,800,1.0,0.03981071705534973,10.0,False,2,2.267782926559448
deep-nonlinear-176e01ac976748d7858ff7604c19b99b,3,800,800,1.0,2.51188643150958,10.0,False,3,1.9157626628875728
deep-nonlinear-dcb186d9855d4d3b80f5b31e8ccc46a9,3,800,800,0.0,0.03981071705534973,0.01,False,4,2.282275915145874
deep-nonlinear-9a9c186ae14940ce8830447755fc4d4c,3,400,400,1.0,0.01,0.03981071705534973,False,3,2.304285049438477
deep-nonlinear-ac2e5760c53e423e824c828f12de45dc,3,800,800,0.5,0.15848931924611134,0.01,False,0,1.9793257713317869
deep-nonlinear-14c97fdddd29438eaf92a5b50417761f,3,800,800,0.5,0.6309573444801929,2.51188643150958,False,0,2.005343198776245
deep-nonlinear-3bb152dfd89146a18e1f0f433ea34066,5,200,200,0.75,0.01,0.15848931924611134,False,3,2.2966437339782715
deep-nonlinear-b1cb138b7711422fa55dd3ec82bf2234,3,400,400,0.0,0.01,1.0,True,2,2.316935539245605
deep-nonlinear-488da0da9baf409f86ef6a24ce009de2,5,800,800,0.75,0.15848931924611134,0.6309573444801929,False,2,2.1943497657775883
deep-nonlinear-bb3a80fa5c46409aa173411e3f34ec7d,3,400,400,0.25,0.6309573444801929,0.6309573444801929,False,4,2.185231208801269
deep-nonlinear-c1d842bdee3a4433b48966558338593f,5,400,400,0.0,0.01,0.01,False,2,2.2997605800628658
deep-nonlinear-c371ac0211a749d9a099fdcfd7d14a97,5,200,200,0.25,0.01,0.01,False,4,2.297358512878418
deep-nonlinear-bd8070ae1f494087981492c5ed56b41b,1,400,400,0.75,0.01,2.51188643150958,False,0,2.409676551818848
deep-nonlinear-54130d7b787a49278713e40130653fe2,5,400,400,0.25,0.15848931924611134,2.51188643150958,False,0,2.2950193881988525
deep-nonlinear-ccc5cb8d929a457fb0a1adb7acdf2927,1,800,800,0.75,0.6309573444801929,2.51188643150958,False,0,1.3632313013076782
deep-nonlinear-5bed1d34dde34c098f3b2bd940db8b33,5,800,800,0.75,0.15848931924611134,0.6309573444801929,False,3,2.083016872406006
deep-nonlinear-381db7a3fa2f42fdbb79a15206c288af,1,800,800,0.25,0.01,0.6309573444801929,False,0,2.352577209472656
deep-nonlinear-9959e0159b534a15b69f6ce59c0e9994,3,800,800,0.5,0.03981071705534973,0.6309573444801929,False,2,2.271257877349853
deep-nonlinear-e697bfaa641043769267a573daedb2fc,1,800,800,0.0,0.6309573444801929,1.0,True,4,1.2948689460754397
deep-nonlinear-f12ebc7ee52b47d7836d3a406188b568,3,400,400,0.0,10.0,2.51188643150958,False,4,2.2538433074951167
deep-nonlinear-fd686821e3d34091b2838680b39b2026,5,200,200,1.0,0.6309573444801929,0.6309573444801929,False,3,2.166381359100342
